ts_utc,balance,equity,margin,margin_free,leverage,profit
2025-12-01 11:27:45,86.44,85.36,46.53,38.83,100,-1.08
2025-12-01 11:28:45,86.44,85.36,46.53,38.83,100,-1.08
2025-12-01 11:29:45,86.44,85.64,46.53,39.11,100,-0.8
2025-12-01 11:30:45,86.44,86.12,46.53,39.59,100,-0.32
2025-12-01 11:31:45,86.44,85.92,46.53,39.39,100,-0.52
2025-12-01 11:32:45,86.44,85.96,46.53,39.43,100,-0.48
2025-12-01 11:33:45,86.44,85.6,46.53,39.07,100,-0.84
2025-12-01 11:34:45,86.44,85.4,46.53,38.87,100,-1.04
2025-12-01 11:35:46,86.44,85.84,46.53,39.31,100,-0.6
2025-12-01 11:36:46,86.44,85.64,46.53,39.11,100,-0.8
2025-12-01 11:37:46,86.44,85.52,46.53,38.99,100,-0.92
2025-12-01 11:38:46,86.44,85.0,46.53,38.47,100,-1.44
2025-12-01 11:39:46,86.44,85.04,46.53,38.51,100,-1.4
2025-12-01 11:40:46,86.44,85.04,46.53,38.51,100,-1.4
2025-12-01 11:41:46,86.44,84.88,46.53,38.35,100,-1.56
2025-12-01 11:42:46,86.44,84.68,46.53,38.15,100,-1.76
2025-12-01 11:43:46,86.44,85.2,46.53,38.67,100,-1.24
2025-12-01 11:44:46,86.44,85.2,46.53,38.67,100,-1.24
2025-12-01 11:45:46,86.44,84.64,46.53,38.11,100,-1.8
2025-12-01 11:46:46,86.44,84.8,46.53,38.27,100,-1.6400000000000001
2025-12-01 11:47:46,86.44,84.6,46.53,38.07,100,-1.8399999999999999
2025-12-01 11:48:46,86.44,84.28,46.53,37.75,100,-2.16
2025-12-01 11:49:46,86.44,84.24,46.53,37.71,100,-2.2
2025-12-01 11:50:46,86.44,84.28,46.53,37.75,100,-2.16
2025-12-01 11:51:46,86.44,84.28,46.53,37.75,100,-2.16
2025-12-01 11:52:46,86.44,84.16,46.53,37.63,100,-2.2800000000000002
2025-12-01 11:53:46,86.44,83.96,46.53,37.43,100,-2.48
2025-12-01 11:54:46,86.44,84.0,46.53,37.47,100,-2.44
2025-12-01 11:55:46,86.44,83.96,46.53,37.43,100,-2.48
2025-12-01 11:56:46,86.44,84.16,46.53,37.63,100,-2.2800000000000002
2025-12-01 11:57:46,86.44,84.2,46.53,37.67,100,-2.24
2025-12-01 11:58:46,86.44,84.64,46.53,38.11,100,-1.8
2025-12-01 11:59:46,86.44,84.92,46.53,38.39,100,-1.52
2025-12-01 12:00:46,86.44,85.12,46.53,38.59,100,-1.32
2025-12-01 12:01:46,86.44,85.48,46.53,38.95,100,-0.96
2025-12-01 12:02:46,86.44,85.08,46.53,38.55,100,-1.3599999999999999
2025-12-01 12:03:46,86.44,84.76,46.53,38.23,100,-1.6800000000000002
2025-12-01 12:04:46,86.44,84.96,46.53,38.43,100,-1.48
2025-12-01 12:05:46,86.44,85.0,46.53,38.47,100,-1.44
2025-12-01 12:06:46,86.44,85.28,46.53,38.75,100,-1.16
2025-12-01 12:07:46,86.44,84.88,46.53,38.35,100,-1.56
2025-12-01 12:08:46,86.44,84.52,46.53,37.99,100,-1.92
2025-12-01 12:09:46,86.44,84.36,46.53,37.83,100,-2.08
2025-12-01 12:10:46,86.44,84.48,46.53,37.95,100,-1.96
2025-12-01 12:11:47,86.44,84.4,46.53,37.87,100,-2.04
2025-12-01 12:12:47,86.44,84.72,46.53,38.19,100,-1.72
2025-12-01 12:13:47,86.44,85.36,46.53,38.83,100,-1.08
2025-12-01 12:14:47,86.44,85.56,46.53,39.03,100,-0.88
2025-12-01 12:15:47,86.44,85.4,46.53,38.87,100,-1.04
2025-12-01 12:16:47,86.44,85.92,46.53,39.39,100,-0.52
2025-12-01 12:17:47,86.44,86.56,46.53,40.03,100,0.12
2025-12-01 12:18:47,86.44,86.48,46.53,39.95,100,0.04
2025-12-01 12:19:47,86.44,86.08,46.53,39.55,100,-0.36
2025-12-01 12:20:47,86.44,87.08,46.53,40.55,100,0.64
2025-12-01 12:21:47,86.44,86.68,46.53,40.15,100,0.24
2025-12-01 12:22:47,86.44,87.28,46.53,40.75,100,0.84
2025-12-01 12:23:47,86.44,86.56,46.53,40.03,100,0.12
2025-12-01 12:24:47,86.44,87.16,46.53,40.63,100,0.72
2025-12-01 12:25:47,86.44,87.32,46.53,40.79,100,0.88
2025-12-01 12:26:47,86.44,87.4,46.53,40.87,100,0.96
2025-12-01 12:27:47,86.44,87.44,46.53,40.91,100,1.0
2025-12-01 12:28:47,86.44,87.24,46.53,40.71,100,0.8
2025-12-01 12:29:47,86.44,87.28,46.53,40.75,100,0.84
2025-12-01 12:30:47,86.44,87.12,46.53,40.59,100,0.68
2025-12-01 12:31:47,86.44,87.0,46.53,40.47,100,0.56
2025-12-01 12:32:47,86.44,87.16,46.53,40.63,100,0.72
2025-12-01 12:33:47,86.44,87.12,46.53,40.59,100,0.68
2025-12-01 12:34:47,86.44,86.4,46.53,39.87,100,-0.04
2025-12-01 12:35:47,86.44,87.2,46.53,40.67,100,0.76
2025-12-01 12:36:47,86.44,87.44,46.53,40.91,100,1.0
2025-12-01 12:37:47,86.44,88.12,46.53,41.59,100,1.6800000000000002
2025-12-01 12:38:47,86.44,88.4,46.53,41.87,100,1.96
2025-12-01 12:39:47,86.44,88.88,46.53,42.35,100,2.44
2025-12-01 12:40:47,86.44,88.2,46.53,41.67,100,1.76
2025-12-01 12:41:47,86.44,88.4,46.53,41.87,100,1.96
2025-12-01 12:42:47,86.44,88.76,46.53,42.23,100,2.32
2025-12-01 12:43:47,86.44,88.92,46.53,42.39,100,2.48
2025-12-01 12:44:47,86.44,88.92,46.53,42.39,100,2.48
2025-12-01 12:45:48,86.44,88.84,46.53,42.31,100,2.4
2025-12-01 12:46:48,86.44,89.2,46.53,42.67,100,2.76
2025-12-01 12:47:48,86.44,89.6,46.53,43.07,100,3.16
2025-12-01 12:48:48,86.44,90.2,46.53,43.67,100,3.76
2025-12-01 12:49:48,86.44,90.28,46.53,43.75,100,3.84
2025-12-01 12:50:48,86.44,90.4,46.53,43.87,100,3.96
2025-12-01 12:51:48,86.44,89.84,46.53,43.31,100,3.4
2025-12-01 12:52:48,86.44,90.44,46.53,43.91,100,4.0
2025-12-01 12:53:48,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 12:54:48,90.76,90.76,0.0,90.76,100,0.0
